id_detalle,id_venta,id_producto,id_promocion,cantidad,precio_unitario_venta,descuento_aplicado,subtotal_linea
125,30,772,,2,5422.09,0.00,10844.18
126,30,585,,1,17380.93,0.00,17380.93
127,30,372,,3,16958.10,0.00,50874.30
128,30,344,,1,584.66,0.00,584.66
129,30,150,,2,17572.73,0.00,35145.46
130,31,735,,2,875.06,0.00,1750.12
131,31,133,,1,7570.15,0.00,7570.15
132,31,540,,4,4721.06,0.00,18884.24
133,31,561,,3,836.98,0.00,2510.94
134,32,158,,2,23137.48,0.00,46274.96
135,33,664,,2,4080.65,0.00,8161.30
136,33,104,,2,10704.08,0.00,21408.16
137,33,379,,1,21026.85,0.00,21026.85
138,34,611,,1,18421.58,0.00,18421.58
139,34,8,18,1,7154.10,2146.23,5007.87
140,34,478,,4,5422.88,0.00,21691.52
141,34,408,,1,17752.68,0.00,17752.68
142,34,729,,3,18466.15,0.00,55398.45
143,35,279,,1,17165.05,0.00,17165.05
144,35,318,,1,18321.34,0.00,18321.34
145,35,602,,3,2865.71,0.00,8597.13
146,35,770,,3,5856.17,0.00,17568.51
147,35,427,,2,5125.58,0.00,10251.16
148,35,268,,4,659.63,0.00,2638.52
149,35,88,,1,17046.77,0.00,17046.77
150,36,156,,2,15432.08,0.00,30864.16
151,36,292,,1,13469.24,0.00,13469.24
152,36,325,,2,1965.65,0.00,3931.30
153,36,32,,1,15953.27,0.00,15953.27
154,37,53,,1,17963.81,0.00,17963.81
155,37,146,,2,8274.09,0.00,16548.18
156,38,525,,1,6788.06,0.00,6788.06
157,38,434,,1,3786.59,0.00,3786.59
158,38,200,,3,6189.03,0.00,18567.09
159,39,528,,3,8143.78,0.00,24431.34
160,39,361,,1,6209.95,0.00,6209.95
161,40,164,,5,13270.97,0.00,66354.85
162,41,711,,1,12872.78,0.00,12872.78
163,41,43,,3,4522.10,0.00,13566.30
164,41,668,,1,9175.27,0.00,9175.27
165,41,732,,3,4758.32,0.00,14274.96
166,41,258,,3,20901.68,0.00,62705.04
167,42,402,,1,7358.98,0.00,7358.98
168,42,466,,1,2317.39,0.00,2317.39
169,42,225,,2,11284.98,0.00,22569.96
170,42,608,,1,23116.71,0.00,23116.71
171,42,474,,2,14593.09,0.00,29186.18
172,42,614,,1,20635.64,0.00,20635.64
173,43,341,,3,19257.80,0.00,57773.40
174,43,662,,2,23416.17,0.00,46832.34
175,43,106,,2,12997.70,0.00,25995.40
176,43,798,,1,6722.10,0.00,6722.10
177,43,684,,2,18897.97,0.00,37795.94
178,44,533,,1,15615.46,0.00,15615.46
179,44,334,,4,20188.22,0.00,80752.88
180,44,264,,3,2354.48,0.00,7063.44
181,44,157,,1,12083.06,0.00,12083.06
182,44,283,,1,19241.44,0.00,19241.44
183,45,474,,3,14593.09,0.00,43779.27
184,45,54,,5,499.99,0.00,2499.95
185,45,186,,1,7580.95,0.00,7580.95
186,46,550,,1,3166.82,0.00,3166.82
187,46,51,,1,2703.68,0.00,2703.68
188,46,667,,4,11361.79,0.00,45447.16
189,47,262,,2,2484.08,0.00,4968.16
190,47,128,,4,17184.55,0.00,68738.20
191,47,23,,2,20744.80,0.00,41489.60
192,48,285,,2,20044.37,0.00,40088.74
193,48,655,,2,12842.10,0.00,25684.20
194,48,260,,4,9022.87,0.00,36091.48
195,49,663,,5,20043.05,0.00,100215.25
196,49,449,,5,12837.95,0.00,64189.75
197,50,324,,1,14391.05,0.00,14391.05
198,50,635,,2,11935.73,0.00,23871.46
199,51,300,,1,8739.91,0.00,8739.91
200,51,290,,1,15874.05,0.00,15874.05
201,52,481,,3,25164.55,0.00,75493.65
202,52,687,,2,12791.94,0.00,25583.88
203,52,43,,1,4522.10,0.00,4522.10
204,52,614,,1,20635.64,0.00,20635.64
205,52,427,,1,5125.58,0.00,5125.58
206,53,224,,1,2591.76,0.00,2591.76
207,53,284,,2,9338.32,0.00,18676.64
208,53,541,,3,3264.35,0.00,9793.05
209,54,474,,1,14593.09,0.00,14593.09
210,54,117,,1,7408.90,0.00,7408.90
211,54,462,,3,19983.67,0.00,59951.01
212,54,35,,2,19301.86,0.00,38603.72
213,55,112,,4,21127.32,0.00,84509.28
214,55,306,,1,12585.72,0.00,12585.72
215,55,524,,4,7938.87,0.00,31755.48
216,55,568,,4,5111.26,0.00,20445.04
217,55,194,,2,16790.59,0.00,33581.18
218,55,475,,5,2254.17,0.00,11270.85
219,55,501,,3,1519.45,0.00,4558.35
220,56,764,,1,23107.83,0.00,23107.83
221,57,585,,3,17380.93,0.00,52142.79
222,57,388,,5,11569.34,0.00,57846.70
223,57,387,,1,3873.25,0.00,3873.25
224,57,157,,3,12083.06,0.00,36249.18
225,57,201,,3,6012.55,0.00,18037.65
226,58,38,,2,6089.63,0.00,12179.26
227,58,776,,1,1473.84,0.00,1473.84
228,58,336,,2,19858.43,0.00,39716.86
229,59,42,,1,16216.21,0.00,16216.21
230,59,131,,1,11420.19,0.00,11420.19
231,59,262,,1,2484.08,0.00,2484.08
232,59,404,,1,17345.29,0.00,17345.29
233,60,597,,5,1311.69,0.00,6558.45
234,60,404,,4,17345.29,0.00,69381.16
235,60,499,,3,12264.50,0.00,36793.50
236,61,416,,3,9100.32,0.00,27300.96
237,61,741,,1,14731.99,0.00,14731.99
238,61,221,,1,3179.69,0.00,3179.69
239,61,179,,1,13357.49,0.00,13357.49
240,62,453,,1,7608.61,0.00,7608.61
241,62,456,,1,23708.00,0.00,23708.00
242,62,289,,1,10474.99,0.00,10474.99
243,62,268,,4,659.63,0.00,2638.52
244,63,354,,2,15729.52,0.00,31459.04
245,63,56,,1,5561.92,0.00,5561.92
246,63,715,,5,10749.23,0.00,53746.15
247,63,497,,1,10905.93,0.00,10905.93
248,64,735,,3,875.06,0.00,2625.18
249,64,95,,1,16456.92,0.00,16456.92
250,64,440,,1,21975.69,0.00,21975.69
251,64,618,,2,572.47,0.00,1144.94
252,65,776,,4,1473.84,0.00,5895.36
253,66,767,,1,15348.12,0.00,15348.12
254,66,137,,1,3680.63,0.00,3680.63
255,66,619,,3,17451.79,0.00,52355.37
256,66,687,,3,12791.94,0.00,38375.82
257,66,632,,2,12006.42,0.00,24012.84
258,66,799,,1,781.86,0.00,781.86
259,66,590,,2,21919.69,0.00,43839.38
260,66,29,,2,6494.00,0.00,12988.00
261,67,265,,1,4332.22,0.00,4332.22
262,67,140,,3,8538.56,0.00,25615.68
263,67,65,,2,24508.26,0.00,49016.52
264,68,444,,1,3163.39,0.00,3163.39
265,68,719,,1,18275.41,0.00,18275.41
266,68,630,,3,1562.23,0.00,4686.69
267,68,300,,3,8739.91,0.00,26219.73
268,68,137,,3,3680.63,0.00,11041.89
269,69,460,,2,23547.95,0.00,47095.90
270,69,590,,1,21919.69,0.00,21919.69
271,70,5,,1,9282.04,0.00,9282.04
272,70,240,,2,1122.96,0.00,2245.92
273,70,335,,3,668.40,0.00,2005.20
274,70,399,,2,17352.75,0.00,34705.50
275,70,695,,3,3665.99,0.00,10997.97
276,71,498,,5,17299.62,0.00,86498.10
277,71,267,,2,9372.26,0.00,18744.52
278,71,459,,1,17788.23,0.00,17788.23
279,72,579,,1,1654.69,0.00,1654.69
280,72,740,,3,3999.00,0.00,11997.00
281,72,758,,2,7381.08,0.00,14762.16
282,73,780,,4,20708.52,0.00,82834.08
283,73,59,,1,15121.06,0.00,15121.06
284,73,189,,1,1506.89,0.00,1506.89
285,74,538,,4,12431.87,0.00,49727.48
286,74,216,,5,9039.31,0.00,45196.55
287,74,465,,5,11187.39,0.00,55936.95
288,74,751,,1,17547.83,0.00,17547.83
289,74,478,,1,5422.88,0.00,5422.88
290,75,508,,3,2316.32,0.00,6948.96
291,75,659,,1,3164.21,0.00,3164.21
292,75,338,,1,16340.21,0.00,16340.21
293,75,800,,2,16757.86,0.00,33515.72
294,76,300,,4,8739.91,0.00,34959.64
295,76,116,,1,9617.18,0.00,9617.18
296,76,598,,3,17952.24,0.00,53856.72
297,76,785,,2,5452.57,0.00,10905.14
298,77,251,,1,8940.07,0.00,8940.07
299,77,308,,2,17428.91,0.00,34857.82
300,78,263,,2,4609.64,0.00,9219.28
301,78,598,,1,17952.24,0.00,17952.24
302,78,311,,1,16304.63,0.00,16304.63
303,78,764,,4,23107.83,0.00,92431.32
304,79,430,,1,18657.04,0.00,18657.04
305,79,737,,1,6106.97,0.00,6106.97
306,79,746,,4,9380.44,0.00,37521.76
307,79,590,,1,21919.69,0.00,21919.69
308,79,138,,1,19101.89,0.00,19101.89
309,79,224,,4,2591.76,0.00,10367.04
310,79,546,,2,14475.65,0.00,28951.30
311,80,487,,1,16209.31,0.00,16209.31
312,80,546,,1,14475.65,0.00,14475.65
313,80,635,,2,11935.73,0.00,23871.46
314,81,286,,1,21727.20,0.00,21727.20
315,81,680,,1,19057.23,0.00,19057.23
316,81,443,,1,4429.92,0.00,4429.92
317,81,445,,1,14535.76,0.00,14535.76
318,81,321,,3,3189.27,0.00,9567.81
319,81,583,,4,13905.06,0.00,55620.24
320,81,791,,1,8853.81,0.00,8853.81
321,82,348,,1,3240.63,0.00,3240.63
322,82,456,,3,23708.00,0.00,71124.00
323,83,676,,5,6272.05,0.00,31360.25
324,83,98,,2,22656.43,0.00,45312.86
325,84,121,,2,16197.47,0.00,32394.94
326,84,788,,1,12284.93,0.00,12284.93
327,84,542,,1,3884.76,0.00,3884.76
328,84,36,,4,8326.96,0.00,33307.84
329,84,607,,1,6829.63,0.00,6829.63
330,85,754,,1,15735.31,0.00,15735.31
331,85,609,,2,2298.17,0.00,4596.34
332,85,259,,1,6869.40,0.00,6869.40
333,85,252,,2,9675.79,0.00,19351.58
334,85,227,,3,20745.65,0.00,62236.95
335,85,85,,3,15292.44,0.00,45877.32
336,86,233,,4,9485.31,0.00,37941.24
337,86,29,,1,6494.00,0.00,6494.00
338,86,51,,4,2703.68,0.00,10814.72
339,86,353,,2,13599.15,0.00,27198.30
340,87,770,,3,5856.17,0.00,17568.51
341,87,799,,1,781.86,0.00,781.86
342,87,572,,5,1707.68,0.00,8538.40
343,87,80,,4,8004.51,0.00,32018.04
344,87,9,,3,13670.26,0.00,41010.78
345,87,444,,1,3163.39,0.00,3163.39
346,88,530,,1,15036.64,0.00,15036.64
347,88,111,,5,7257.40,0.00,36287.00
348,89,477,,1,12025.51,0.00,12025.51
349,89,299,,1,14881.17,0.00,14881.17
350,89,593,,1,16461.58,0.00,16461.58
351,89,234,,2,16914.32,0.00,33828.64
352,89,744,,1,780.08,0.00,780.08
353,89,336,,5,19858.43,0.00,99292.15
354,90,574,,3,7318.67,0.00,21956.01
355,90,458,,1,9953.71,0.00,9953.71
356,90,61,,3,13084.35,0.00,39253.05
357,90,626,,2,17557.25,0.00,35114.50
358,90,604,,2,4615.21,0.00,9230.42
359,90,635,,1,11935.73,0.00,11935.73
360,91,677,,2,15528.02,0.00,31056.04
361,91,36,,1,8326.96,0.00,8326.96
362,91,685,,5,16453.68,0.00,82268.40
363,91,637,,1,16763.27,0.00,16763.27
364,91,738,,1,5575.92,0.00,5575.92
365,91,440,,4,21975.69,0.00,87902.76
366,91,441,,1,6358.60,0.00,6358.60
367,92,28,,2,11726.30,0.00,23452.60
368,92,371,,4,3807.88,0.00,15231.52
369,92,699,,5,8499.60,0.00,42498.00
370,92,253,,3,13071.96,0.00,39215.88
371,92,341,,1,19257.80,0.00,19257.80
372,92,95,,3,16456.92,0.00,49370.76
373,92,782,,1,4918.39,0.00,4918.39
374,93,649,,1,18245.77,0.00,18245.77
375,93,647,,1,13834.45,0.00,13834.45
376,93,684,,1,18897.97,0.00,18897.97
377,93,16,,3,11647.82,0.00,34943.46
378,93,12,,4,10940.37,0.00,43761.48
379,93,415,,1,4808.80,0.00,4808.80
380,93,323,,2,18722.37,0.00,37444.74
381,94,448,,1,10243.99,0.00,10243.99
382,94,104,,3,10704.08,0.00,32112.24
383,94,410,,1,19116.54,0.00,19116.54
384,94,449,,1,12837.95,0.00,12837.95
385,94,243,,3,12017.14,0.00,36051.42
386,95,70,,1,20619.12,0.00,20619.12
387,95,225,,1,11284.98,0.00,11284.98
388,95,165,,4,11618.72,0.00,46474.88
389,95,209,,2,6915.80,0.00,13831.60
390,95,461,,1,20033.72,0.00,20033.72
391,95,94,,3,4260.00,0.00,12780.00
392,96,765,,5,8813.00,0.00,44065.00
393,96,106,,2,12997.70,0.00,25995.40
394,96,799,,5,781.86,0.00,3909.30
395,96,327,,1,8387.39,0.00,8387.39
396,97,280,,1,4497.01,0.00,4497.01
397,97,416,,1,9100.32,0.00,9100.32
398,97,90,,2,4853.26,0.00,9706.52
399,98,32,,1,15953.27,0.00,15953.27
400,98,51,,1,2703.68,0.00,2703.68
401,98,105,,2,11461.75,0.00,22923.50
402,98,61,,5,13084.35,0.00,65421.75
403,98,116,,2,9617.18,0.00,19234.36
404,99,583,,2,13905.06,0.00,27810.12
405,99,674,,5,12391.51,0.00,61957.55
406,100,786,,3,2256.91,0.00,6770.73
407,100,615,,1,15919.14,0.00,15919.14
408,101,293,,1,1934.26,0.00,1934.26
409,101,57,,1,2309.32,0.00,2309.32
410,101,636,,2,4134.39,0.00,8268.78
411,101,597,,3,1311.69,0.00,3935.07
412,102,327,,3,8387.39,0.00,25162.17
413,102,292,,2,13469.24,0.00,26938.48
414,102,56,,1,5561.92,0.00,5561.92
415,102,169,,1,7933.12,0.00,7933.12
416,102,157,,3,12083.06,0.00,36249.18
417,102,792,,2,26114.07,0.00,52228.14
418,102,279,,3,17165.05,0.00,51495.15
419,102,558,,1,20112.12,0.00,20112.12
420,103,195,,5,13747.22,0.00,68736.10
421,104,88,,4,17046.77,0.00,68187.08
422,105,406,,1,15581.01,0.00,15581.01
423,105,97,,1,19978.16,0.00,19978.16
424,105,199,,5,8788.89,0.00,43944.45
425,105,626,,3,17557.25,0.00,52671.75
426,105,427,,2,5125.58,0.00,10251.16
427,106,411,,1,11941.88,0.00,11941.88
428,106,97,,3,19978.16,0.00,59934.48
429,107,71,,5,11304.51,0.00,56522.55
430,107,518,,4,507.54,0.00,2030.16
431,107,297,,3,18496.52,0.00,55489.56
432,107,411,,4,11941.88,0.00,47767.52
433,107,325,,2,1965.65,0.00,3931.30
434,107,8,,1,7154.10,0.00,7154.10
435,107,210,,3,4220.01,0.00,12660.03
436,107,133,,1,7570.15,0.00,7570.15
437,108,734,,2,21342.22,0.00,42684.44
438,108,287,,5,21826.87,0.00,109134.35
439,108,780,,2,20708.52,0.00,41417.04
440,109,320,,4,20934.09,0.00,83736.36
441,109,341,,3,19257.80,0.00,57773.40
442,109,707,,1,13994.45,0.00,13994.45
443,109,698,,1,15681.56,0.00,15681.56
444,110,39,,5,4019.59,0.00,20097.95
445,110,246,,1,20541.21,0.00,20541.21
446,110,383,,1,6704.59,0.00,6704.59
447,110,184,,4,23177.03,0.00,92708.12
448,110,793,,2,8730.54,0.00,17461.08
449,110,608,,1,23116.71,0.00,23116.71
450,111,264,,1,2354.48,0.00,2354.48
451,111,187,,1,5692.39,0.00,5692.39
452,111,212,,1,13364.08,0.00,13364.08
453,111,246,,4,20541.21,0.00,82164.84
454,111,683,,1,17404.69,0.00,17404.69
455,111,784,,1,2596.62,0.00,2596.62
456,112,618,,4,572.47,0.00,2289.88
457,112,632,,1,12006.42,0.00,12006.42
458,112,687,,1,12791.94,0.00,12791.94
459,112,570,,3,10664.50,0.00,31993.50
460,112,660,,3,2904.98,0.00,8714.94
461,112,274,36,2,13764.06,4129.22,23398.90
462,112,374,,3,987.80,0.00,2963.40
463,112,170,,5,16450.75,0.00,82253.75
464,113,738,,4,5575.92,0.00,22303.68
465,113,645,,1,4439.86,0.00,4439.86
466,113,10,,2,14444.77,0.00,28889.54
467,113,519,,1,19913.39,0.00,19913.39
468,113,78,,1,16330.68,0.00,16330.68
469,113,653,,1,22783.49,0.00,22783.49
470,113,534,,2,20967.63,0.00,41935.26
471,114,619,,1,17451.79,0.00,17451.79
472,115,440,,3,21975.69,0.00,65927.07
473,115,205,,2,10321.68,0.00,20643.36
474,115,356,,1,8350.94,0.00,8350.94
475,115,570,,1,10664.50,0.00,10664.50
476,115,681,,2,12903.88,0.00,25807.76
477,115,354,,5,15729.52,0.00,78647.60
478,116,176,,3,3287.37,0.00,9862.11
479,116,433,,2,5342.01,0.00,10684.02
480,116,519,,1,19913.39,0.00,19913.39
481,116,557,,1,15394.46,0.00,15394.46
482,117,155,,3,20783.77,0.00,62351.31
483,117,782,,1,4918.39,0.00,4918.39
484,117,200,,1,6189.03,0.00,6189.03
485,117,119,,1,3751.07,0.00,3751.07
486,117,257,,4,962.28,0.00,3849.12
487,118,18,,5,2923.02,0.00,14615.10
488,119,541,,1,3264.35,0.00,3264.35
489,119,108,,2,16014.51,0.00,32029.02
490,119,293,,4,1934.26,0.00,7737.04
491,119,424,,3,15449.37,0.00,46348.11
492,119,607,,3,6829.63,0.00,20488.89
493,119,679,,1,15710.50,0.00,15710.50
494,119,794,,1,8841.34,0.00,8841.34
495,120,152,,1,3275.82,0.00,3275.82
496,120,516,,1,2252.46,0.00,2252.46
497,120,724,,2,16408.11,0.00,32816.22
498,120,769,,3,19299.63,0.00,57898.89
499,120,548,,4,7494.00,0.00,29976.00
500,120,267,,4,9372.26,0.00,37489.04
501,121,507,,2,12640.54,0.00,25281.08
502,122,343,,5,9601.68,0.00,48008.40
503,122,756,,3,14212.40,0.00,42637.20
504,122,250,,2,20601.00,0.00,41202.00
505,122,183,,1,22409.17,0.00,22409.17
506,123,306,,2,12585.72,0.00,25171.44
507,123,772,,1,5422.09,0.00,5422.09
508,124,542,,3,3884.76,0.00,11654.28
509,124,281,,1,10552.41,0.00,10552.41
510,124,61,,1,13084.35,0.00,13084.35
511,124,215,,4,14699.25,0.00,58797.00
512,125,328,,2,8901.60,0.00,17803.20
513,125,234,,1,16914.32,0.00,16914.32
514,126,612,,4,16020.64,0.00,64082.56
515,126,23,,1,20744.80,0.00,20744.80
516,126,314,,1,14340.66,0.00,14340.66
517,127,37,,2,17231.23,0.00,34462.46
518,127,524,,4,7938.87,0.00,31755.48
519,127,390,,5,1763.44,0.00,8817.20
520,127,761,,1,17699.32,0.00,17699.32
521,127,248,,2,12802.17,0.00,25604.34
522,128,548,,1,7494.00,0.00,7494.00
523,128,248,,1,12802.17,0.00,12802.17
524,129,13,,2,20325.74,0.00,40651.48
525,129,675,,3,9257.40,0.00,27772.20
526,129,504,,1,1134.65,0.00,1134.65
527,129,628,,2,14992.65,0.00,29985.30
528,129,287,,2,21826.87,0.00,43653.74
529,129,611,,1,18421.58,0.00,18421.58
530,130,448,,1,10243.99,0.00,10243.99
531,130,53,,1,17963.81,0.00,17963.81
532,131,466,,3,2317.39,0.00,6952.17
533,131,709,,2,11859.65,0.00,23719.30
534,131,120,,5,2379.14,0.00,11895.70
535,132,447,,1,18754.55,0.00,18754.55
536,132,638,,2,6935.09,0.00,13870.18
537,132,232,,5,2099.79,0.00,10498.95
538,132,323,,1,18722.37,0.00,18722.37
539,133,714,,2,16407.65,0.00,32815.30
540,133,528,,1,8143.78,0.00,8143.78
541,133,435,,2,14674.26,0.00,29348.52
542,133,703,,1,18945.60,0.00,18945.60
543,133,390,,2,1763.44,0.00,3526.88
544,133,442,,4,9965.93,0.00,39863.72
545,133,743,,3,16006.46,0.00,48019.38
546,134,220,,2,10099.42,0.00,20198.84
547,134,324,,3,14391.05,0.00,43173.15
548,134,109,,1,2167.44,0.00,2167.44
549,134,769,,1,19299.63,0.00,19299.63
550,134,730,,2,9531.09,0.00,19062.18
551,134,754,,1,15735.31,0.00,15735.31
552,135,713,,4,17863.22,0.00,71452.88
553,135,215,,2,14699.25,0.00,29398.50
554,135,570,,3,10664.50,0.00,31993.50
555,136,55,,3,2063.08,0.00,6189.24
556,136,479,,4,6720.68,0.00,26882.72
557,136,89,,4,4877.96,0.00,19511.84
558,136,615,,1,15919.14,0.00,15919.14
559,137,679,,2,15710.50,0.00,31421.00
560,137,730,,1,9531.09,0.00,9531.09
561,137,391,,1,17812.73,0.00,17812.73
562,137,389,,5,16617.24,0.00,83086.20
563,138,172,,5,14608.57,0.00,73042.85
564,138,444,,1,3163.39,0.00,3163.39
565,138,688,,1,10360.93,0.00,10360.93
566,139,219,,1,23819.81,0.00,23819.81
567,139,445,,2,14535.76,0.00,29071.52
568,139,30,,1,7629.06,0.00,7629.06
569,140,744,,1,780.08,0.00,780.08
570,140,604,,1,4615.21,0.00,4615.21
571,140,553,,1,23528.82,0.00,23528.82
572,140,369,,5,12021.50,0.00,60107.50
573,141,233,,3,9485.31,0.00,28455.93
574,141,116,,1,9617.18,0.00,9617.18
575,141,732,,1,4758.32,0.00,4758.32
576,141,767,,1,15348.12,0.00,15348.12
577,142,264,,4,2354.48,0.00,9417.92
578,142,667,,2,11361.79,0.00,22723.58
579,143,214,,5,3139.56,0.00,15697.80
580,143,604,,1,4615.21,0.00,4615.21
581,143,41,41,5,15451.15,30902.30,46353.45
582,144,284,,2,9338.32,0.00,18676.64
583,144,186,,5,7580.95,0.00,37904.75
584,144,313,,2,4556.41,0.00,9112.82
585,145,459,,1,17788.23,0.00,17788.23
586,145,313,,1,4556.41,0.00,4556.41
587,145,512,,1,6177.47,0.00,6177.47
588,145,650,,2,14231.19,0.00,28462.38
589,146,74,,1,3449.12,0.00,3449.12
590,146,279,,1,17165.05,0.00,17165.05
591,146,506,,2,17861.77,0.00,35723.54
592,147,173,,3,10457.84,0.00,31373.52
593,147,274,,3,13764.06,0.00,41292.18
594,148,177,,1,15664.81,0.00,15664.81
595,148,257,,1,962.28,0.00,962.28
596,148,36,,2,8326.96,0.00,16653.92
597,148,3,,2,4970.20,0.00,9940.40
598,148,94,,1,4260.00,0.00,4260.00
599,148,742,,1,15873.45,0.00,15873.45
600,149,683,,4,17404.69,0.00,69618.76
601,149,147,,1,5057.44,0.00,5057.44
602,150,62,,1,7635.78,0.00,7635.78
603,150,149,,1,9589.17,0.00,9589.17
604,150,756,,3,14212.40,0.00,42637.20
