id_inventario,id_producto,id_sucursal,fecha,stock_actual,stock_minimo,entradas_dia,salidas_dia
65,604,1,2025-12-31,195,15,42,30
66,14,7,2025-12-31,58,13,31,46
67,538,2,2025-12-31,56,24,2,50
68,69,7,2025-12-31,183,24,7,56
69,511,6,2025-12-31,203,15,4,41
70,128,14,2025-12-31,148,20,16,52
71,299,9,2025-12-31,138,13,40,7
72,635,5,2025-12-31,32,12,46,23
73,28,13,2025-12-31,155,14,43,29
74,497,8,2025-12-31,72,9,30,28
75,691,14,2025-12-31,220,21,15,57
76,681,8,2025-12-31,125,12,14,13
77,773,7,2025-12-31,152,28,14,39
78,311,14,2025-12-31,126,8,27,19
79,534,1,2025-12-31,125,24,44,48
80,352,8,2025-12-31,153,25,49,28
81,23,11,2025-12-31,29,18,40,27
82,429,12,2025-12-31,42,6,20,32
83,488,5,2025-12-31,130,15,29,18
84,389,11,2025-12-31,38,26,31,6
85,492,10,2025-12-31,177,12,23,50
86,235,1,2025-12-31,103,30,44,57
87,395,7,2025-12-31,29,17,44,23
88,85,14,2025-12-31,125,5,44,5
89,758,1,2025-12-31,165,6,45,26
90,9,6,2025-12-31,155,26,2,42
91,152,3,2025-12-31,106,15,7,25
92,649,14,2025-12-31,163,20,28,19
93,403,4,2025-12-31,15,9,45,30
94,292,13,2025-12-31,200,19,10,27
95,83,3,2025-12-31,27,26,17,20
96,192,7,2025-12-31,155,16,27,21
97,494,12,2025-12-31,35,28,4,48
98,772,12,2025-12-31,209,27,45,43
99,558,7,2025-12-31,213,20,6,22
100,381,12,2025-12-31,40,23,11,16
101,336,7,2025-12-31,104,18,5,25
102,583,3,2025-12-31,172,25,19,60
103,286,3,2025-12-31,115,29,38,17
104,311,9,2025-12-31,108,13,6,38
105,488,9,2025-12-31,152,9,40,34
106,429,5,2025-12-31,6,21,42,7
107,58,14,2025-12-31,216,22,13,34
108,572,3,2025-12-31,139,15,34,42
109,269,4,2025-12-31,94,21,3,46
110,183,11,2025-12-31,97,30,19,26
111,510,4,2025-12-31,5,16,28,55
112,405,7,2025-12-31,6,20,4,15
113,25,10,2025-12-31,83,14,43,53
114,418,13,2025-12-31,210,25,35,51
115,220,10,2025-12-31,156,25,36,60
116,627,13,2025-12-31,187,6,28,18
117,277,3,2025-12-31,184,5,15,35
118,401,2,2025-12-31,188,25,19,51
119,100,6,2025-12-31,47,24,43,44
120,169,4,2025-12-31,134,10,12,27
121,220,9,2025-12-31,23,26,49,56
122,547,7,2025-12-31,213,19,23,17
123,161,3,2025-12-31,35,7,45,1
124,417,2,2025-12-31,49,23,7,53
125,417,10,2025-12-31,39,11,41,12
126,610,13,2025-12-31,178,7,3,44
127,702,12,2025-12-31,197,28,10,12
128,259,6,2025-12-31,121,30,48,33
129,223,10,2025-12-31,181,15,11,47
130,225,13,2025-12-31,57,19,1,51
131,294,8,2025-12-31,97,9,28,16
132,226,2,2025-12-31,30,24,32,6
133,559,9,2025-12-31,50,20,50,26
134,760,1,2025-12-31,47,10,8,53
135,505,6,2025-12-31,23,16,47,0
136,731,1,2025-12-31,116,5,44,26
137,227,10,2025-12-31,160,19,13,58
138,292,5,2025-12-31,33,22,12,58
139,181,3,2025-12-31,76,6,34,59
140,128,5,2025-12-31,103,21,45,48
141,530,1,2025-12-31,3,12,47,35
142,528,3,2025-12-31,93,27,19,35
143,569,14,2025-12-31,97,26,25,11
144,671,13,2025-12-31,129,29,32,42
145,644,12,2025-12-31,149,8,6,30
146,643,11,2025-12-31,150,23,42,14
147,185,4,2025-12-31,66,25,10,37
148,58,8,2025-12-31,132,8,20,8
149,363,5,2025-12-31,59,28,26,45
150,565,11,2025-12-31,219,23,19,21
151,258,2,2025-12-31,48,11,31,12
152,359,2,2025-12-31,130,25,14,46
153,95,10,2025-12-31,58,13,2,5
154,569,3,2025-12-31,8,28,43,44
155,295,15,2025-12-31,186,10,10,39
156,631,9,2025-12-31,207,18,41,22
157,356,15,2025-12-31,85,25,16,50
158,552,7,2025-12-31,141,19,27,51
159,125,3,2025-12-31,196,14,17,11
160,351,8,2025-12-31,206,18,10,55
161,697,7,2025-12-31,44,16,33,40
162,398,4,2025-12-31,136,20,39,17
163,534,7,2025-12-31,162,21,45,26
164,617,11,2025-12-31,48,14,45,13
165,691,7,2025-12-31,61,14,12,26
166,403,2,2025-12-31,81,18,1,53
167,299,4,2025-12-31,137,8,35,25
168,610,8,2025-12-31,97,29,4,47
169,731,7,2025-12-31,26,16,11,49
170,129,15,2025-12-31,117,22,35,33
171,252,15,2025-12-31,132,29,9,16
172,718,13,2025-12-31,194,22,17,60
173,567,10,2025-12-31,160,29,14,41
174,30,6,2025-12-31,148,16,5,59
175,432,14,2025-12-31,181,20,23,32
176,172,12,2025-12-31,77,16,30,30
177,132,11,2025-12-31,42,21,23,12
178,363,15,2025-12-31,167,24,5,45
179,600,15,2025-12-31,141,24,23,46
180,278,14,2025-12-31,195,10,43,27
181,296,3,2025-12-31,170,16,39,1
182,259,3,2025-12-31,70,25,10,8
183,100,2,2025-12-31,63,15,4,38
184,129,2,2025-12-31,194,30,34,28
185,150,5,2025-12-31,99,5,15,38
186,773,12,2025-12-31,170,12,48,30
187,751,8,2025-12-31,23,21,15,28
188,343,5,2025-12-31,125,21,8,60
189,499,12,2025-12-31,219,22,18,34
190,115,2,2025-12-31,5,5,13,25
191,88,11,2025-12-31,54,10,30,12
192,82,9,2025-12-31,24,23,49,29
193,437,6,2025-12-31,104,7,13,54
194,352,1,2025-12-31,174,30,35,45
195,185,2,2025-12-31,9,12,0,22
196,442,14,2025-12-31,84,28,7,36
197,706,6,2025-12-31,29,10,3,26
198,265,5,2025-12-31,130,28,11,59
199,295,9,2025-12-31,217,30,31,23
200,397,12,2025-12-31,196,29,20,51
201,220,6,2025-12-31,142,12,18,53
202,609,11,2025-12-31,203,8,27,10
203,649,6,2025-12-31,23,20,17,17
204,281,15,2025-12-31,165,21,27,49
205,183,6,2025-12-31,69,11,25,2
206,442,7,2025-12-31,120,26,33,28
207,697,3,2025-12-31,194,14,8,15
208,351,6,2025-12-31,133,17,29,53
209,799,10,2025-12-31,125,9,4,1
210,183,12,2025-12-31,116,28,22,12
211,265,15,2025-12-31,151,20,28,2
212,552,15,2025-12-31,169,23,18,29
213,485,9,2025-12-31,190,11,21,12
214,5,5,2025-12-31,155,17,38,33
215,651,11,2025-12-31,11,24,23,13
216,441,12,2025-12-31,145,29,35,37
217,610,9,2025-12-31,146,7,46,46
218,627,8,2025-12-31,29,9,25,9
219,237,13,2025-12-31,162,26,36,45
220,336,15,2025-12-31,90,18,50,46
221,661,14,2025-12-31,158,15,22,9
222,239,8,2025-12-31,129,18,49,20
223,71,1,2025-12-31,84,11,12,17
224,376,6,2025-12-31,30,24,33,53
225,186,14,2025-12-31,65,5,2,43
226,601,2,2025-12-31,116,27,31,38
227,766,1,2025-12-31,22,5,14,2
228,490,15,2025-12-31,64,29,34,43
229,766,15,2025-12-31,168,18,37,53
230,225,12,2025-12-31,105,24,11,47
231,597,10,2025-12-31,168,20,34,25
232,603,3,2025-12-31,33,19,22,49
233,505,7,2025-12-31,119,7,31,41
234,706,1,2025-12-31,37,29,12,48
235,3,9,2025-12-31,192,8,43,54
236,237,10,2025-12-31,63,6,10,25
237,706,4,2025-12-31,117,10,34,4
238,332,11,2025-12-31,141,8,34,36
239,605,7,2025-12-31,206,24,27,13
240,222,11,2025-12-31,167,19,40,35
241,461,11,2025-12-31,132,16,1,41
242,786,12,2025-12-31,40,12,4,23
243,569,13,2025-12-31,185,27,25,50
244,192,15,2025-12-31,49,28,32,24
245,59,13,2025-12-31,14,5,14,56
246,32,3,2025-12-31,146,26,32,19
247,184,10,2025-12-31,51,11,33,48
248,236,12,2025-12-31,36,15,23,42
249,231,6,2025-12-31,142,19,12,51
250,523,7,2025-12-31,131,8,37,18
251,404,4,2025-12-31,68,28,43,48
252,796,4,2025-12-31,29,18,12,21
253,404,10,2025-12-31,156,11,11,28
254,8,7,2025-12-31,193,24,50,1
255,4,12,2025-12-31,54,25,44,17
256,374,13,2025-12-31,86,30,16,28
257,765,9,2025-12-31,181,29,22,5
258,606,8,2025-12-31,140,11,27,6
259,123,14,2025-12-31,174,24,49,21
260,755,11,2025-12-31,17,16,18,9
261,292,7,2025-12-31,17,28,37,36
262,57,12,2025-12-31,143,23,28,43
263,39,13,2025-12-31,122,10,0,56
264,552,3,2025-12-31,106,15,36,3
265,58,15,2025-12-31,174,6,7,24
266,603,13,2025-12-31,55,11,22,28
267,644,14,2025-12-31,114,20,8,58
268,195,4,2025-12-31,181,17,42,6
269,569,9,2025-12-31,13,10,36,22
270,83,15,2025-12-31,194,28,49,6
271,161,13,2025-12-31,165,28,46,36
272,773,2,2025-12-31,74,19,47,36
273,8,8,2025-12-31,156,16,4,10
274,236,7,2025-12-31,162,16,27,54
275,417,14,2025-12-31,81,25,13,49
276,225,2,2025-12-31,83,28,25,16
277,787,1,2025-12-31,12,24,25,1
278,607,3,2025-12-31,103,12,24,40
279,8,2,2025-12-31,29,24,34,13
280,443,4,2025-12-31,106,27,26,12
281,281,5,2025-12-31,163,15,10,7
282,286,4,2025-12-31,206,30,22,46
283,216,9,2025-12-31,208,23,1,48
284,190,13,2025-12-31,58,9,14,4
285,172,7,2025-12-31,136,8,23,30
286,67,7,2025-12-31,50,24,49,2
287,294,2,2025-12-31,160,23,2,34
288,12,14,2025-12-31,46,7,6,56
289,465,9,2025-12-31,203,30,19,42
290,13,9,2025-12-31,49,18,6,59
291,433,2,2025-12-31,51,8,29,29
292,188,15,2025-12-31,124,9,23,4
293,81,14,2025-12-31,177,20,30,45
294,702,10,2025-12-31,134,14,29,5
295,132,1,2025-12-31,115,13,17,59
296,682,6,2025-12-31,74,7,10,35
297,628,4,2025-12-31,209,22,3,4
298,57,11,2025-12-31,88,7,21,6
299,604,15,2025-12-31,47,7,27,22
300,796,2,2025-12-31,30,18,40,24
301,794,13,2025-12-31,102,27,3,24
302,586,6,2025-12-31,49,27,20,18
303,358,11,2025-12-31,104,16,12,6
304,358,10,2025-12-31,186,7,25,52
305,627,12,2025-12-31,98,12,13,13
306,783,3,2025-12-31,106,29,6,21
307,494,15,2025-12-31,156,14,11,11
308,66,13,2025-12-31,140,6,19,13
309,441,15,2025-12-31,85,14,50,2
310,678,15,2025-12-31,174,22,0,16
311,560,6,2025-12-31,0,5,21,8
312,225,4,2025-12-31,114,13,29,52
313,389,3,2025-12-31,111,15,32,19
314,598,12,2025-12-31,33,10,4,33
315,183,3,2025-12-31,163,14,38,55
316,311,8,2025-12-31,186,7,43,60
317,94,3,2025-12-31,47,8,45,2
318,527,8,2025-12-31,73,16,6,33
319,381,2,2025-12-31,222,26,14,48
320,533,2,2025-12-31,96,21,33,48
321,585,4,2025-12-31,157,11,42,1
322,214,8,2025-12-31,40,17,23,22
323,480,5,2025-12-31,192,29,43,28
324,696,1,2025-12-31,1,22,33,54
325,6,12,2025-12-31,188,21,5,54
326,25,7,2025-12-31,50,26,43,17
327,674,8,2025-12-31,106,13,19,16
328,604,14,2025-12-31,205,17,34,30
329,631,10,2025-12-31,112,14,18,55
330,323,4,2025-12-31,200,26,1,36
331,348,15,2025-12-31,196,15,27,35
332,353,6,2025-12-31,188,5,13,48
333,172,10,2025-12-31,163,24,29,8
334,651,4,2025-12-31,18,15,29,9
335,96,3,2025-12-31,209,27,2,32
336,736,5,2025-12-31,132,14,36,30
337,572,15,2025-12-31,205,14,6,41
338,736,6,2025-12-31,31,10,21,20
339,278,15,2025-12-31,67,5,28,8
340,494,13,2025-12-31,119,18,37,32
341,669,9,2025-12-31,151,12,27,14
342,67,5,2025-12-31,131,17,26,53
343,432,8,2025-12-31,202,7,43,13
344,164,8,2025-12-31,159,14,42,1
345,167,8,2025-12-31,93,17,11,18
346,783,10,2025-12-31,177,18,2,31
347,529,8,2025-12-31,106,27,15,8
348,330,8,2025-12-31,161,18,21,53
349,442,12,2025-12-31,28,23,32,36
350,261,11,2025-12-31,185,15,22,1
351,579,7,2025-12-31,30,14,16,54
352,263,2,2025-12-31,51,28,24,34
353,152,7,2025-12-31,146,19,15,4
354,331,14,2025-12-31,167,28,14,38
355,511,5,2025-12-31,87,24,39,11
356,499,1,2025-12-31,30,7,44,7
357,452,3,2025-12-31,52,29,8,2
358,443,11,2025-12-31,93,30,4,6
359,61,2,2025-12-31,17,7,36,22
360,9,9,2025-12-31,150,28,44,14
361,210,2,2025-12-31,165,28,18,12
362,544,11,2025-12-31,26,12,50,25
363,153,12,2025-12-31,98,14,16,38
364,397,10,2025-12-31,176,28,25,48
365,681,15,2025-12-31,150,25,36,8
366,482,12,2025-12-31,30,10,33,58
367,7,9,2025-12-31,50,27,19,8
368,369,14,2025-12-31,23,22,41,12
369,109,13,2025-12-31,58,15,8,34
370,36,9,2025-12-31,193,15,14,1
371,58,1,2025-12-31,161,10,6,24
372,534,2,2025-12-31,44,24,11,59
373,67,13,2025-12-31,146,20,19,41
374,515,3,2025-12-31,111,18,19,60
375,495,6,2025-12-31,225,28,35,50
376,201,2,2025-12-31,134,7,14,19
377,630,6,2025-12-31,52,15,9,10
378,341,3,2025-12-31,28,18,22,24
379,607,14,2025-12-31,47,22,9,8
380,129,5,2025-12-31,119,12,15,41
381,152,15,2025-12-31,6,27,17,57
382,69,2,2025-12-31,106,9,31,5
383,687,2,2025-12-31,96,29,39,41
384,13,10,2025-12-31,67,26,16,5
385,43,5,2025-12-31,205,24,36,28
386,184,13,2025-12-31,48,11,11,41
387,369,11,2025-12-31,69,27,42,0
388,518,3,2025-12-31,92,7,8,21
389,19,9,2025-12-31,176,26,5,12
390,732,11,2025-12-31,174,13,31,9
391,731,3,2025-12-31,117,21,44,3
392,123,3,2025-12-31,170,27,37,11
393,38,15,2025-12-31,145,28,28,25
394,227,4,2025-12-31,48,21,43,51
395,22,9,2025-12-31,46,12,44,60
396,19,11,2025-12-31,124,13,36,59
397,259,14,2025-12-31,165,10,11,9
398,261,14,2025-12-31,129,6,44,43
399,181,11,2025-12-31,102,7,23,39
400,38,10,2025-12-31,147,11,34,52
401,592,3,2025-12-30,67,6,22,51
402,719,12,2025-12-30,174,8,40,59
403,485,11,2025-12-30,52,10,23,25
404,237,2,2025-12-30,88,27,11,25
405,374,5,2025-12-30,54,6,10,48
406,418,14,2025-12-30,139,30,4,38
407,278,13,2025-12-30,105,11,31,18
408,42,9,2025-12-30,176,20,27,58
409,458,13,2025-12-30,142,17,40,45
410,675,4,2025-12-30,92,29,29,15
411,432,13,2025-12-30,10,13,27,23
412,192,9,2025-12-30,99,22,6,29
413,395,2,2025-12-30,169,9,29,29
414,90,12,2025-12-30,190,26,32,5
415,57,14,2025-12-30,107,23,23,0
416,166,1,2025-12-30,39,27,10,4
417,513,5,2025-12-30,116,27,9,20
418,499,3,2025-12-30,94,30,48,23
419,294,9,2025-12-30,162,13,40,58
420,492,13,2025-12-30,135,23,49,57
421,538,7,2025-12-30,31,26,0,50
422,497,7,2025-12-30,112,22,11,33
423,51,5,2025-12-30,77,27,41,38
424,198,5,2025-12-30,24,20,40,38
425,100,3,2025-12-30,9,30,14,56
426,140,10,2025-12-30,205,6,49,3
427,87,11,2025-12-30,30,22,26,5
428,528,12,2025-12-30,129,18,21,4
429,125,15,2025-12-30,116,25,7,37
430,123,15,2025-12-30,201,12,50,25
431,128,3,2025-12-30,73,11,30,47
432,13,1,2025-12-30,183,10,16,47
433,286,1,2025-12-30,169,7,13,56
434,281,9,2025-12-30,217,28,40,32
435,105,1,2025-12-30,148,23,4,33
436,97,5,2025-12-30,138,13,25,8
437,621,14,2025-12-30,53,21,7,3
438,608,15,2025-12-30,160,5,12,38
439,274,9,2025-12-30,102,30,22,38
440,527,1,2025-12-30,42,18,13,43
441,465,4,2025-12-30,88,27,37,4
442,543,8,2025-12-30,87,19,27,25
443,341,7,2025-12-30,138,23,48,28
444,404,2,2025-12-30,168,29,25,1
445,237,6,2025-12-30,32,14,16,45
446,784,4,2025-12-30,198,17,7,54
447,132,10,2025-12-30,61,17,38,49
448,192,4,2025-12-30,187,12,13,20
449,67,2,2025-12-30,102,17,0,9
450,57,10,2025-12-30,78,25,28,22
451,800,12,2025-12-30,47,9,6,38
452,792,10,2025-12-30,107,29,40,38
453,559,14,2025-12-30,108,6,36,41
454,140,15,2025-12-30,200,18,36,44
455,697,6,2025-12-30,1,6,38,3
456,41,1,2025-12-30,27,8,36,23
457,116,11,2025-12-30,157,12,37,40
458,30,11,2025-12-30,99,20,23,10
459,38,6,2025-12-30,55,29,14,33
460,108,12,2025-12-30,201,30,4,26
461,536,7,2025-12-30,164,24,35,48
462,26,15,2025-12-30,63,20,23,55
463,442,8,2025-12-30,48,5,8,45
464,403,3,2025-12-30,169,8,0,12
465,604,1,2025-12-30,198,24,15,24
466,14,7,2025-12-30,138,20,19,23
467,538,2,2025-12-30,146,18,35,36
468,69,7,2025-12-30,77,13,9,44
469,511,6,2025-12-30,4,27,24,1
470,128,14,2025-12-30,77,15,29,48
471,299,9,2025-12-30,165,15,24,23
472,635,5,2025-12-30,98,15,7,35
473,28,13,2025-12-30,137,15,16,31
474,497,8,2025-12-30,158,28,44,10
475,691,14,2025-12-30,29,28,37,21
476,681,8,2025-12-30,63,6,1,36
477,773,7,2025-12-30,155,18,35,43
478,311,14,2025-12-30,170,26,42,16
479,534,1,2025-12-30,55,28,11,56
480,352,8,2025-12-30,202,30,44,16
481,23,11,2025-12-30,170,27,33,16
482,429,12,2025-12-30,205,23,28,57
483,488,5,2025-12-30,88,13,1,34
484,389,11,2025-12-30,104,9,37,35
485,492,10,2025-12-30,8,13,13,14
486,235,1,2025-12-30,66,29,1,7
487,395,7,2025-12-30,204,7,3,32
488,85,14,2025-12-30,169,21,49,53
489,758,1,2025-12-30,65,22,33,2
490,9,6,2025-12-30,13,5,19,17
491,152,3,2025-12-30,215,27,25,53
492,649,14,2025-12-30,189,20,24,43
493,403,4,2025-12-30,2,26,27,55
494,292,13,2025-12-30,78,18,45,18
495,83,3,2025-12-30,17,27,13,50
496,192,7,2025-12-30,211,12,14,8
497,494,12,2025-12-30,59,6,45,48
498,772,12,2025-12-30,90,27,25,45
499,558,7,2025-12-30,161,25,4,59
500,381,12,2025-12-30,105,13,17,25
501,336,7,2025-12-30,66,26,29,19
502,583,3,2025-12-30,22,12,8,49
503,286,3,2025-12-30,111,5,44,29
504,311,9,2025-12-30,216,28,25,33
505,488,9,2025-12-30,174,10,18,26
506,429,5,2025-12-30,182,15,49,55
507,58,14,2025-12-30,9,22,45,43
508,572,3,2025-12-30,119,29,21,22
509,269,4,2025-12-30,172,16,39,2
510,183,11,2025-12-30,15,5,6,42
511,510,4,2025-12-30,45,19,13,33
512,405,7,2025-12-30,60,18,29,57
513,25,10,2025-12-30,52,7,3,43
514,418,13,2025-12-30,15,12,9,37
515,220,10,2025-12-30,151,12,35,22
516,627,13,2025-12-30,203,29,47,35
517,277,3,2025-12-30,111,5,29,4
518,401,2,2025-12-30,70,29,12,21
519,100,6,2025-12-30,174,29,25,56
520,169,4,2025-12-30,200,25,8,46
521,220,9,2025-12-30,105,7,19,31
522,547,7,2025-12-30,192,14,12,50
523,161,3,2025-12-30,136,9,43,12
524,417,2,2025-12-30,159,5,2,26
525,417,10,2025-12-30,129,5,31,24
526,610,13,2025-12-30,46,27,29,29
527,702,12,2025-12-30,116,15,5,15
528,259,6,2025-12-30,41,21,24,49
529,223,10,2025-12-30,22,14,26,40
530,225,13,2025-12-30,44,18,34,18
531,294,8,2025-12-30,73,25,41,33
532,226,2,2025-12-30,145,27,28,22
533,559,9,2025-12-30,61,24,16,47
534,760,1,2025-12-30,25,8,18,13
535,505,6,2025-12-30,187,20,1,14
536,731,1,2025-12-30,97,12,19,19
537,227,10,2025-12-30,124,27,31,44
538,292,5,2025-12-30,155,18,10,28
539,181,3,2025-12-30,27,22,16,53
540,128,5,2025-12-30,102,20,1,52
541,530,1,2025-12-30,197,13,39,8
542,528,3,2025-12-30,144,19,10,54
543,569,14,2025-12-30,223,24,3,30
544,671,13,2025-12-30,221,26,2,5
545,644,12,2025-12-30,124,17,17,35
546,643,11,2025-12-30,29,9,32,49
547,185,4,2025-12-30,143,18,9,5
548,58,8,2025-12-30,154,5,40,8
549,363,5,2025-12-30,66,24,22,43
550,565,11,2025-12-30,101,28,30,7
551,258,2,2025-12-30,98,18,18,28
552,359,2,2025-12-30,111,21,23,53
553,95,10,2025-12-30,40,15,22,33
554,569,3,2025-12-30,108,10,20,4
555,295,15,2025-12-30,11,15,36,28
556,631,9,2025-12-30,122,23,26,35
557,356,15,2025-12-30,119,7,45,28
558,552,7,2025-12-30,102,6,50,2
559,125,3,2025-12-30,208,25,10,45
560,351,8,2025-12-30,20,28,38,31
561,697,7,2025-12-30,194,8,25,38
562,398,4,2025-12-30,40,6,29,47
563,534,7,2025-12-30,204,19,15,56
564,617,11,2025-12-30,59,29,46,35
565,691,7,2025-12-30,200,18,32,48
566,403,2,2025-12-30,19,7,34,16
567,299,4,2025-12-30,61,12,31,16
568,610,8,2025-12-30,150,12,9,48
569,731,7,2025-12-30,223,29,11,57
570,129,15,2025-12-30,165,20,24,3
571,252,15,2025-12-30,201,23,50,55
572,718,13,2025-12-30,121,21,14,37
573,567,10,2025-12-30,142,17,24,56
574,30,6,2025-12-30,99,17,47,13
575,432,14,2025-12-30,11,21,46,47
576,172,12,2025-12-30,171,27,30,44
577,132,11,2025-12-30,86,30,23,51
578,363,15,2025-12-30,167,14,40,25
579,600,15,2025-12-30,152,21,6,20
580,278,14,2025-12-30,140,19,33,19
581,296,3,2025-12-30,78,14,43,57
582,259,3,2025-12-30,98,14,40,49
583,100,2,2025-12-30,87,28,22,11
584,129,2,2025-12-30,164,13,1,14
585,150,5,2025-12-30,74,22,12,26
586,773,12,2025-12-30,57,11,23,54
587,751,8,2025-12-30,13,23,31,44
588,343,5,2025-12-30,24,26,8,38
589,499,12,2025-12-30,80,19,13,39
590,115,2,2025-12-30,84,15,34,21
591,88,11,2025-12-30,24,7,38,58
592,82,9,2025-12-30,203,7,15,28
593,437,6,2025-12-30,65,8,40,1
594,352,1,2025-12-30,21,22,30,8
595,185,2,2025-12-30,38,16,29,5
596,442,14,2025-12-30,61,14,45,15
597,706,6,2025-12-30,168,18,13,56
598,265,5,2025-12-30,50,23,42,54
599,295,9,2025-12-30,43,15,13,56
600,397,12,2025-12-30,106,14,18,43
601,220,6,2025-12-30,3,5,42,29
602,609,11,2025-12-30,37,7,13,3
603,649,6,2025-12-30,93,25,26,13
604,281,15,2025-12-30,70,16,28,17
605,183,6,2025-12-30,171,21,7,20
606,442,7,2025-12-30,173,27,46,35
607,697,3,2025-12-30,131,23,35,23
608,351,6,2025-12-30,124,28,2,23
609,799,10,2025-12-30,196,29,33,16
610,183,12,2025-12-30,31,6,12,45
611,265,15,2025-12-30,93,8,31,35
612,552,15,2025-12-30,133,22,17,23
613,485,9,2025-12-30,84,22,36,29
614,5,5,2025-12-30,155,9,24,0
615,651,11,2025-12-30,92,26,35,7
616,441,12,2025-12-30,120,27,39,57
617,610,9,2025-12-30,84,17,17,8
618,627,8,2025-12-30,142,24,3,29
619,237,13,2025-12-30,133,11,44,19
620,336,15,2025-12-30,65,5,7,56
621,661,14,2025-12-30,64,8,17,2
622,239,8,2025-12-30,132,6,0,26
623,71,1,2025-12-30,38,21,41,60
624,376,6,2025-12-30,90,16,10,1
625,186,14,2025-12-30,171,30,38,20
626,601,2,2025-12-30,80,11,44,32
627,766,1,2025-12-30,85,11,6,31
628,490,15,2025-12-30,54,24,30,22
629,766,15,2025-12-30,133,10,20,1
630,225,12,2025-12-30,132,5,28,31
631,597,10,2025-12-30,96,17,14,53
632,603,3,2025-12-30,210,14,45,18
633,505,7,2025-12-30,19,13,25,32
634,706,1,2025-12-30,163,30,12,4
635,3,9,2025-12-30,90,11,46,13
636,237,10,2025-12-30,131,29,29,27
637,706,4,2025-12-30,156,17,49,51
638,332,11,2025-12-30,18,19,9,53
639,605,7,2025-12-30,188,15,36,23
640,222,11,2025-12-30,145,16,26,27
641,461,11,2025-12-30,149,30,40,28
642,786,12,2025-12-30,110,27,31,2
643,569,13,2025-12-30,187,23,22,45
644,192,15,2025-12-30,37,6,7,9
645,59,13,2025-12-30,96,8,4,60
646,32,3,2025-12-30,82,8,13,23
647,184,10,2025-12-30,99,21,9,33
648,236,12,2025-12-30,112,15,38,60
649,231,6,2025-12-30,85,24,43,21
650,523,7,2025-12-30,165,18,30,60
651,404,4,2025-12-30,204,13,50,11
652,796,4,2025-12-30,216,30,37,30
653,404,10,2025-12-30,102,6,6,21
654,8,7,2025-12-30,78,8,24,55
655,4,12,2025-12-30,142,23,23,1
656,374,13,2025-12-30,187,22,39,50
657,765,9,2025-12-30,46,15,0,37
658,606,8,2025-12-30,8,27,45,26
659,123,14,2025-12-30,109,13,39,60
660,755,11,2025-12-30,47,26,8,21
661,292,7,2025-12-30,2,7,49,0
662,57,12,2025-12-30,106,24,1,19
