id_venta,fecha_hora,id_cliente,id_sucursal,id_canal,id_metodo_pago,monto_subtotal,monto_descuento,monto_total,numero_factura
24,2024-03-07 09:06:53,,11,1,1,232155.84,0.00,232155.84,F-00000024
25,2024-04-22 06:17:24,3729,5,3,3,172346.64,0.00,172346.64,F-00000025
26,2024-03-25 17:07:18,2717,7,1,1,21104.82,0.00,21104.82,F-00000026
27,2024-12-22 19:36:51,2724,13,1,1,77633.47,0.00,77633.47,F-00000027
28,2023-05-06 16:37:19,2339,9,1,1,16774.78,0.00,16774.78,F-00000028
29,2025-01-24 18:14:37,531,6,1,1,33905.02,0.00,33905.02,F-00000029
30,2024-06-09 13:53:41,28,8,1,1,130155.36,0.00,130155.36,F-00000030
31,2025-06-26 16:23:54,3401,9,1,1,30715.45,0.00,30715.45,F-00000031
32,2023-01-31 20:47:48,3215,10,2,4,46274.96,0.00,46274.96,F-00000032
33,2024-02-02 11:48:32,3939,13,1,5,50596.31,0.00,50596.31,F-00000033
34,2025-08-12 07:17:51,3123,9,1,2,120418.33,2146.23,118272.10,F-00000034
35,2024-11-04 04:32:14,4309,7,1,2,91588.48,0.00,91588.48,F-00000035
36,2025-09-16 16:01:41,4581,13,1,2,64217.97,0.00,64217.97,F-00000036
37,2023-08-05 19:37:43,805,11,2,2,34511.99,0.00,34511.99,F-00000037
38,2023-05-08 19:01:26,2193,9,3,1,29141.74,0.00,29141.74,F-00000038
39,2023-11-30 07:35:47,2557,2,1,4,30641.29,0.00,30641.29,F-00000039
40,2025-08-10 06:35:16,3223,9,1,2,66354.85,0.00,66354.85,F-00000040
41,2025-10-27 10:14:50,4515,9,2,3,112594.35,0.00,112594.35,F-00000041
42,2024-10-14 18:07:54,1749,12,1,3,105184.86,0.00,105184.86,F-00000042
43,2023-03-15 09:10:47,3125,4,1,3,175119.18,0.00,175119.18,F-00000043
44,2025-08-29 16:59:56,156,15,1,2,134756.28,0.00,134756.28,F-00000044
45,2025-01-23 11:05:53,,9,1,1,53860.17,0.00,53860.17,F-00000045
46,2025-01-20 08:37:33,,9,1,4,51317.66,0.00,51317.66,F-00000046
47,2025-11-26 11:27:32,2607,3,2,2,115195.96,0.00,115195.96,F-00000047
48,2023-11-03 06:53:32,,6,1,2,101864.42,0.00,101864.42,F-00000048
49,2024-06-22 18:47:25,1336,4,1,2,164405.00,0.00,164405.00,F-00000049
50,2025-05-29 05:32:55,76,14,1,4,38262.51,0.00,38262.51,F-00000050
51,2025-10-08 01:40:33,,12,2,3,24613.96,0.00,24613.96,F-00000051
52,2024-06-20 15:26:16,4851,14,1,2,131360.85,0.00,131360.85,F-00000052
53,2023-02-13 16:55:32,,4,1,4,31061.45,0.00,31061.45,F-00000053
54,2023-05-15 21:35:37,1852,14,1,3,120556.72,0.00,120556.72,F-00000054
55,2023-08-23 10:15:54,,9,1,1,198705.90,0.00,198705.90,F-00000055
56,2023-05-25 15:18:38,2781,15,1,2,23107.83,0.00,23107.83,F-00000056
57,2023-04-17 14:19:56,1627,9,1,2,168149.57,0.00,168149.57,F-00000057
58,2024-12-30 18:49:34,4080,10,1,2,53369.96,0.00,53369.96,F-00000058
59,2023-01-11 18:35:34,1154,10,2,4,47465.77,0.00,47465.77,F-00000059
60,2023-01-16 10:42:32,4643,6,1,1,112733.11,0.00,112733.11,F-00000060
61,2025-09-06 14:04:50,2967,7,1,3,58570.13,0.00,58570.13,F-00000061
62,2024-12-25 16:31:49,2069,14,1,3,44430.12,0.00,44430.12,F-00000062
63,2023-04-02 22:43:28,3817,11,2,1,101673.04,0.00,101673.04,F-00000063
64,2023-10-23 13:56:24,2863,13,1,4,42202.73,0.00,42202.73,F-00000064
65,2024-06-11 15:30:36,1938,6,1,1,5895.36,0.00,5895.36,F-00000065
66,2025-12-21 10:55:05,1549,15,2,3,191382.02,0.00,191382.02,F-00000066
67,2023-11-17 11:01:54,2999,11,1,1,78964.42,0.00,78964.42,F-00000067
68,2025-03-10 13:14:28,287,15,3,2,63387.11,0.00,63387.11,F-00000068
69,2024-12-07 18:33:23,1893,9,1,2,69015.59,0.00,69015.59,F-00000069
70,2024-06-09 04:35:03,4266,2,3,1,59236.63,0.00,59236.63,F-00000070
71,2024-06-02 17:56:38,3266,2,1,3,123030.85,0.00,123030.85,F-00000071
72,2024-03-15 10:58:06,,13,2,1,28413.85,0.00,28413.85,F-00000072
73,2024-05-11 08:43:32,4498,14,1,2,99462.03,0.00,99462.03,F-00000073
74,2023-08-25 08:53:25,2766,6,3,2,173831.69,0.00,173831.69,F-00000074
75,2024-12-14 12:57:56,667,12,1,3,59969.10,0.00,59969.10,F-00000075
76,2025-11-18 12:48:33,2250,7,1,2,109338.68,0.00,109338.68,F-00000076
77,2023-01-03 09:32:07,4793,6,1,2,43797.89,0.00,43797.89,F-00000077
78,2023-09-14 03:31:05,2366,14,1,4,135907.47,0.00,135907.47,F-00000078
79,2023-04-21 12:27:25,,6,2,1,142625.69,0.00,142625.69,F-00000079
80,2023-11-05 22:49:39,4500,4,2,3,54556.42,0.00,54556.42,F-00000080
81,2025-05-15 12:07:38,3179,5,1,3,133791.97,0.00,133791.97,F-00000081
82,2023-11-15 23:42:31,964,2,1,3,74364.63,0.00,74364.63,F-00000082
83,2024-03-07 15:57:11,320,2,2,3,76673.11,0.00,76673.11,F-00000083
84,2025-08-23 18:41:46,1843,2,1,3,88702.10,0.00,88702.10,F-00000084
85,2024-02-01 21:56:43,2751,4,1,2,154666.90,0.00,154666.90,F-00000085
86,2024-11-23 17:40:29,1531,14,1,2,82448.26,0.00,82448.26,F-00000086
87,2025-11-14 09:59:18,1102,9,1,5,103080.98,0.00,103080.98,F-00000087
88,2023-12-16 17:44:22,2750,14,2,2,51323.64,0.00,51323.64,F-00000088
89,2025-04-16 17:18:08,2234,11,2,1,177269.13,0.00,177269.13,F-00000089
90,2025-09-25 16:51:47,4836,9,3,2,127443.42,0.00,127443.42,F-00000090
91,2024-03-08 07:58:56,294,8,1,1,238251.95,0.00,238251.95,F-00000091
92,2025-08-12 09:19:52,2913,10,1,2,193944.95,0.00,193944.95,F-00000092
93,2023-08-10 15:35:08,1164,9,2,1,171936.67,0.00,171936.67,F-00000093
94,2024-04-28 15:06:48,,3,1,1,110362.14,0.00,110362.14,F-00000094
95,2024-07-28 10:10:18,139,11,1,1,125024.30,0.00,125024.30,F-00000095
96,2024-11-21 16:23:38,4481,11,1,2,82357.09,0.00,82357.09,F-00000096
97,2025-01-19 09:36:15,3103,6,1,1,23303.85,0.00,23303.85,F-00000097
98,2024-04-25 15:06:52,1104,3,1,2,126236.56,0.00,126236.56,F-00000098
99,2024-07-16 19:29:16,1155,11,1,1,89767.67,0.00,89767.67,F-00000099
100,2023-07-19 14:32:39,4135,14,1,4,22689.87,0.00,22689.87,F-00000100
101,2024-06-23 13:17:46,1191,5,2,1,16447.43,0.00,16447.43,F-00000101
102,2023-07-09 10:54:28,,12,1,1,225680.28,0.00,225680.28,F-00000102
103,2023-12-16 02:03:45,4202,4,1,4,68736.10,0.00,68736.10,F-00000103
104,2024-11-12 09:42:07,,4,2,4,68187.08,0.00,68187.08,F-00000104
105,2024-12-20 19:55:58,3299,5,1,2,142426.53,0.00,142426.53,F-00000105
106,2024-06-22 13:18:02,3517,2,2,3,71876.36,0.00,71876.36,F-00000106
107,2025-12-27 16:20:57,267,14,1,1,193125.37,0.00,193125.37,F-00000107
108,2025-06-02 18:17:39,1996,2,1,4,193235.83,0.00,193235.83,F-00000108
109,2024-04-15 11:57:59,1712,11,1,2,171185.77,0.00,171185.77,F-00000109
110,2024-07-03 09:09:49,3042,5,1,1,180629.66,0.00,180629.66,F-00000110
111,2025-02-07 23:11:32,1296,6,1,1,123577.10,0.00,123577.10,F-00000111
112,2025-06-18 13:59:37,4627,15,1,4,180541.95,4129.22,176412.73,F-00000112
113,2025-01-21 11:10:44,1798,1,1,1,156595.90,0.00,156595.90,F-00000113
114,2025-05-28 16:56:33,4658,9,2,2,17451.79,0.00,17451.79,F-00000114
115,2023-10-04 16:36:51,1129,9,1,1,210041.23,0.00,210041.23,F-00000115
116,2025-03-04 11:30:24,947,8,1,4,55853.98,0.00,55853.98,F-00000116
117,2023-07-26 15:21:51,4576,2,1,3,81058.92,0.00,81058.92,F-00000117
118,2023-07-24 09:02:11,4212,14,1,3,14615.10,0.00,14615.10,F-00000118
119,2024-11-26 14:03:39,2825,8,1,5,134419.25,0.00,134419.25,F-00000119
120,2025-10-25 06:45:16,3730,3,1,2,163708.43,0.00,163708.43,F-00000120
121,2024-02-01 12:22:07,,14,1,2,25281.08,0.00,25281.08,F-00000121
122,2024-09-04 17:01:14,,15,3,2,154256.77,0.00,154256.77,F-00000122
123,2023-02-25 10:08:24,1156,7,1,2,30593.53,0.00,30593.53,F-00000123
124,2025-07-24 10:39:11,3586,7,1,1,94088.04,0.00,94088.04,F-00000124
125,2023-04-27 11:30:35,1971,8,1,1,34717.52,0.00,34717.52,F-00000125
126,2024-06-17 04:35:02,3677,7,1,2,99168.02,0.00,99168.02,F-00000126
127,2024-03-09 08:05:15,860,9,1,1,118338.80,0.00,118338.80,F-00000127
128,2025-09-23 02:38:17,,13,1,2,20296.17,0.00,20296.17,F-00000128
129,2025-05-24 14:43:58,484,5,2,1,161618.95,0.00,161618.95,F-00000129
130,2024-06-01 17:36:54,3959,7,2,1,28207.80,0.00,28207.80,F-00000130
131,2023-09-20 07:31:40,,14,1,1,42567.17,0.00,42567.17,F-00000131
132,2024-09-07 12:14:52,2542,9,1,2,61846.05,0.00,61846.05,F-00000132
133,2023-07-29 10:33:39,1778,6,1,2,180663.18,0.00,180663.18,F-00000133
134,2024-12-16 17:04:05,,12,1,3,119636.55,0.00,119636.55,F-00000134
135,2025-05-07 12:48:27,2622,10,3,3,132844.88,0.00,132844.88,F-00000135
136,2024-01-16 17:06:37,3281,13,1,2,68502.94,0.00,68502.94,F-00000136
137,2024-07-27 11:45:03,,3,1,1,141851.02,0.00,141851.02,F-00000137
138,2024-09-13 13:20:42,2369,9,1,2,86567.17,0.00,86567.17,F-00000138
139,2023-01-08 19:49:00,,4,2,3,60520.39,0.00,60520.39,F-00000139
140,2025-03-06 10:21:38,1458,4,1,3,89031.61,0.00,89031.61,F-00000140
141,2024-12-02 11:20:44,4884,3,3,1,58179.55,0.00,58179.55,F-00000141
142,2023-03-18 09:06:46,3868,13,2,1,32141.50,0.00,32141.50,F-00000142
143,2023-02-14 19:04:43,143,5,1,2,97568.76,30902.30,66666.46,F-00000143
144,2023-05-01 14:44:38,,1,1,2,65694.21,0.00,65694.21,F-00000144
145,2025-09-02 11:18:44,347,8,3,1,56984.49,0.00,56984.49,F-00000145
146,2025-03-28 17:29:10,3557,15,1,3,56337.71,0.00,56337.71,F-00000146
147,2024-06-15 16:49:03,4297,11,2,1,72665.70,0.00,72665.70,F-00000147
148,2023-09-06 10:26:22,2247,15,1,3,63354.86,0.00,63354.86,F-00000148
149,2025-12-11 19:07:50,3320,8,3,4,74676.20,0.00,74676.20,F-00000149
150,2023-03-29 10:10:05,,5,1,5,166270.37,0.00,166270.37,F-00000150
151,2025-02-18 10:38:55,2068,4,1,2,192496.18,0.00,192496.18,F-00000151
152,2024-02-17 05:18:49,1460,6,1,5,8347.46,0.00,8347.46,F-00000152
153,2023-06-14 15:41:13,4981,15,3,4,68391.37,0.00,68391.37,F-00000153
154,2024-11-01 09:59:34,2859,5,3,2,77962.82,0.00,77962.82,F-00000154
155,2023-04-11 10:31:49,486,7,1,1,59636.08,0.00,59636.08,F-00000155
156,2025-11-28 13:56:31,568,12,3,3,42251.13,0.00,42251.13,F-00000156
157,2025-10-17 16:44:12,,1,1,2,15212.08,0.00,15212.08,F-00000157
158,2023-08-25 13:04:01,2020,5,1,1,122098.82,0.00,122098.82,F-00000158
159,2025-02-26 07:56:43,,8,1,3,63258.22,353.17,62905.05,F-00000159
160,2024-08-28 19:39:42,2223,15,1,1,3683.30,0.00,3683.30,F-00000160
161,2024-08-18 17:49:39,602,15,1,2,164284.44,4235.84,160048.60,F-00000161
162,2024-01-28 08:29:25,1092,12,1,2,10831.89,0.00,10831.89,F-00000162
163,2024-09-23 05:44:17,3287,7,1,3,233193.40,0.00,233193.40,F-00000163
164,2023-04-06 08:36:29,,9,1,1,74255.53,1994.10,72261.43,F-00000164
165,2025-12-18 17:30:41,,11,1,2,10114.88,0.00,10114.88,F-00000165
166,2025-12-21 11:24:32,915,15,2,5,72566.77,0.00,72566.77,F-00000166
167,2024-01-20 08:58:35,1539,11,1,1,63517.31,0.00,63517.31,F-00000167
168,2025-11-15 17:10:47,137,8,1,2,113183.91,0.00,113183.91,F-00000168
169,2023-02-05 15:45:47,3803,2,1,3,62051.11,0.00,62051.11,F-00000169
170,2025-11-23 09:51:51,2632,15,1,3,88746.26,0.00,88746.26,F-00000170
171,2024-05-17 08:04:25,2172,6,1,4,127514.03,0.00,127514.03,F-00000171
172,2024-05-17 10:22:34,,12,1,1,78070.73,0.00,78070.73,F-00000172
173,2025-01-06 15:18:31,,11,1,2,30051.16,0.00,30051.16,F-00000173
174,2025-03-18 17:41:46,2123,8,1,5,197755.02,0.00,197755.02,F-00000174
175,2025-06-26 11:57:02,,3,2,4,16090.76,0.00,16090.76,F-00000175
176,2024-11-23 15:18:11,3142,14,3,2,55891.40,0.00,55891.40,F-00000176
177,2024-09-12 12:25:38,4960,9,2,1,76364.25,0.00,76364.25,F-00000177
178,2023-11-27 10:44:42,4362,12,1,4,13071.96,0.00,13071.96,F-00000178
179,2023-03-03 13:23:15,3960,14,1,4,90264.80,0.00,90264.80,F-00000179
180,2024-05-11 13:25:56,2247,4,1,4,181004.33,769.72,180234.61,F-00000180
181,2023-10-02 09:27:02,3468,6,1,3,118949.85,0.00,118949.85,F-00000181
182,2023-06-25 14:35:58,2062,10,1,4,63910.20,0.00,63910.20,F-00000182
183,2023-04-26 16:43:30,795,14,1,3,105130.37,0.00,105130.37,F-00000183
184,2024-12-06 17:27:37,3679,14,1,4,122670.53,0.00,122670.53,F-00000184
185,2023-04-20 09:48:33,1833,9,2,2,9689.92,0.00,9689.92,F-00000185
186,2025-11-19 06:51:01,3634,15,1,5,198219.06,0.00,198219.06,F-00000186
187,2025-08-02 20:03:12,2548,9,1,1,83021.56,0.00,83021.56,F-00000187
188,2025-04-09 14:20:45,4109,11,1,3,617.91,0.00,617.91,F-00000188
189,2025-03-27 17:26:26,3122,6,1,1,21691.93,0.00,21691.93,F-00000189
190,2024-05-18 13:56:49,242,11,1,4,160741.09,0.00,160741.09,F-00000190
191,2024-04-23 21:14:41,1548,8,1,4,29427.04,0.00,29427.04,F-00000191
192,2024-10-26 07:40:31,3511,6,1,2,23322.60,0.00,23322.60,F-00000192
193,2025-06-07 10:32:46,,3,1,2,63203.07,0.00,63203.07,F-00000193
194,2025-10-13 12:24:22,1141,12,3,1,174030.58,0.00,174030.58,F-00000194
195,2023-10-12 07:54:59,1069,7,1,1,75046.20,0.00,75046.20,F-00000195
196,2025-08-31 14:31:26,1748,5,1,3,50449.26,0.00,50449.26,F-00000196
197,2024-05-05 12:10:31,1731,8,1,2,97193.48,0.00,97193.48,F-00000197
198,2024-02-24 16:53:03,,2,1,2,21438.53,0.00,21438.53,F-00000198
199,2025-06-21 14:58:12,4166,12,1,2,72194.15,0.00,72194.15,F-00000199
200,2023-01-27 09:52:49,1369,11,1,4,65353.87,0.00,65353.87,F-00000200
201,2023-12-13 15:30:41,773,2,3,1,181968.44,0.00,181968.44,F-00000201
202,2023-11-12 19:32:15,642,7,2,2,22955.12,0.00,22955.12,F-00000202
203,2023-04-23 07:15:31,1514,6,3,2,1780.33,0.00,1780.33,F-00000203
204,2023-09-24 09:28:23,410,10,1,3,21299.49,0.00,21299.49,F-00000204
205,2023-08-10 09:39:17,2492,9,2,4,67365.26,0.00,67365.26,F-00000205
206,2025-05-21 19:51:36,2107,12,1,1,65102.48,0.00,65102.48,F-00000206
207,2023-10-05 16:40:26,1776,9,2,5,121905.00,0.00,121905.00,F-00000207
208,2024-10-07 19:14:22,2114,4,1,2,105056.36,0.00,105056.36,F-00000208
209,2025-04-10 10:16:56,,5,1,2,93986.89,0.00,93986.89,F-00000209
210,2024-02-17 10:51:43,,5,2,1,67251.94,0.00,67251.94,F-00000210
211,2025-08-18 04:35:03,1701,5,2,1,83360.36,0.00,83360.36,F-00000211
212,2024-01-15 06:00:27,1211,3,3,2,130852.81,0.00,130852.81,F-00000212
213,2025-11-08 14:35:43,4936,11,1,2,15987.09,0.00,15987.09,F-00000213
214,2025-04-02 12:22:23,4435,4,1,1,273851.57,0.00,273851.57,F-00000214
215,2024-05-04 15:35:49,1130,2,3,3,15879.25,0.00,15879.25,F-00000215
216,2024-02-09 14:37:13,294,13,1,5,40944.93,0.00,40944.93,F-00000216
217,2024-05-30 18:07:07,2816,13,3,2,20051.93,0.00,20051.93,F-00000217
218,2023-07-22 18:37:41,85,3,1,1,206249.16,1145.59,205103.57,F-00000218
219,2024-02-24 06:04:00,,14,1,1,98256.32,0.00,98256.32,F-00000219
220,2023-03-24 15:25:04,2353,4,2,3,28916.61,0.00,28916.61,F-00000220
221,2024-08-31 10:34:52,,8,2,3,107227.19,0.00,107227.19,F-00000221
222,2025-01-16 07:44:47,3547,8,1,1,55973.79,0.00,55973.79,F-00000222
223,2025-03-20 10:04:33,3630,7,1,1,89975.08,0.00,89975.08,F-00000223
224,2023-10-28 15:13:28,4806,6,1,1,143885.51,0.00,143885.51,F-00000224
225,2023-08-02 14:35:59,3387,10,1,4,87440.46,0.00,87440.46,F-00000225
226,2025-11-25 12:52:40,4591,2,1,1,34578.69,0.00,34578.69,F-00000226
227,2023-01-06 11:43:47,2698,7,1,4,207781.40,0.00,207781.40,F-00000227
228,2025-02-26 16:26:20,2010,1,1,2,45566.98,0.00,45566.98,F-00000228
229,2023-03-04 15:21:42,4035,8,1,1,91151.52,0.00,91151.52,F-00000229
230,2023-06-25 18:03:18,2512,5,1,1,21000.14,0.00,21000.14,F-00000230
231,2024-09-15 12:25:39,1890,5,1,3,61023.63,0.00,61023.63,F-00000231
232,2025-04-30 09:42:58,,5,1,3,45072.85,0.00,45072.85,F-00000232
233,2023-03-03 12:54:51,232,4,2,2,14426.40,0.00,14426.40,F-00000233
234,2025-07-10 08:22:43,2011,11,1,1,126199.91,0.00,126199.91,F-00000234
235,2025-09-30 09:04:25,,11,1,2,70768.76,0.00,70768.76,F-00000235
236,2025-06-14 15:38:43,4282,1,1,2,142330.63,0.00,142330.63,F-00000236
237,2023-09-30 18:13:22,,5,2,3,100123.96,0.00,100123.96,F-00000237
238,2025-11-23 09:27:35,3136,9,1,5,200812.00,8327.90,192484.10,F-00000238
239,2024-04-01 18:05:46,2221,11,1,3,64985.78,0.00,64985.78,F-00000239
240,2025-02-19 17:35:44,2500,9,2,1,205940.63,0.00,205940.63,F-00000240
241,2023-11-29 14:33:15,4663,1,1,2,105337.76,0.00,105337.76,F-00000241
242,2024-10-29 20:26:04,4491,12,1,2,2499.95,0.00,2499.95,F-00000242
243,2025-05-22 08:02:27,338,4,1,4,76600.80,0.00,76600.80,F-00000243
244,2024-04-13 11:13:30,1083,4,2,1,105972.75,0.00,105972.75,F-00000244
245,2024-10-09 15:10:57,215,9,2,2,62186.67,0.00,62186.67,F-00000245
246,2023-06-24 12:11:45,2643,2,2,3,90435.53,0.00,90435.53,F-00000246
247,2025-10-21 06:17:10,952,13,1,3,79353.36,0.00,79353.36,F-00000247
248,2023-09-11 17:35:11,3022,9,1,2,108007.82,0.00,108007.82,F-00000248
249,2024-07-25 15:21:11,3195,14,1,2,131179.15,4629.62,126549.53,F-00000249
250,2025-01-31 10:09:31,2351,6,1,3,86550.15,0.00,86550.15,F-00000250
251,2024-08-28 19:56:52,1746,7,1,2,40181.29,0.00,40181.29,F-00000251
252,2023-09-09 10:52:30,3134,7,1,3,54922.74,0.00,54922.74,F-00000252
253,2023-07-27 18:37:19,2633,10,1,1,29245.01,0.00,29245.01,F-00000253
254,2025-01-15 09:45:31,464,11,1,3,137201.27,0.00,137201.27,F-00000254
255,2024-05-18 11:25:37,3982,12,1,1,32021.26,0.00,32021.26,F-00000255
256,2024-06-01 19:30:16,65,1,1,1,40210.41,0.00,40210.41,F-00000256
257,2023-12-10 09:37:00,3493,2,1,2,85562.09,0.00,85562.09,F-00000257
258,2024-04-30 10:54:23,3124,9,2,3,25615.68,0.00,25615.68,F-00000258
259,2023-06-07 17:34:27,4030,3,3,2,239377.23,0.00,239377.23,F-00000259
260,2025-07-15 11:52:20,2537,12,1,3,80010.52,0.00,80010.52,F-00000260
261,2023-12-31 12:23:38,,4,3,1,13364.22,0.00,13364.22,F-00000261
262,2025-03-17 12:15:00,3334,11,1,2,37438.65,0.00,37438.65,F-00000262
263,2023-10-20 10:34:38,3145,10,3,1,105329.81,0.00,105329.81,F-00000263
264,2023-03-19 19:11:55,1390,7,3,3,43612.73,0.00,43612.73,F-00000264
265,2025-01-04 19:55:39,319,14,3,1,91099.84,0.00,91099.84,F-00000265
266,2025-09-11 04:57:30,4334,13,1,2,156071.80,0.00,156071.80,F-00000266
267,2024-02-12 12:11:22,42,2,1,1,144473.24,0.00,144473.24,F-00000267
268,2025-06-19 14:24:15,3732,9,1,1,66992.07,2189.33,64802.74,F-00000268
269,2024-05-04 11:42:46,1648,12,1,2,105688.91,0.00,105688.91,F-00000269
270,2024-10-10 09:52:01,1165,3,1,4,68979.61,6015.91,62963.70,F-00000270
271,2025-10-28 07:48:17,4881,4,1,3,50471.53,0.00,50471.53,F-00000271
272,2024-02-24 13:50:48,2578,11,1,3,59264.50,0.00,59264.50,F-00000272
273,2024-03-20 18:41:27,502,1,2,2,67068.69,0.00,67068.69,F-00000273
274,2023-04-06 18:53:35,3118,9,1,2,31338.80,0.00,31338.80,F-00000274
275,2025-10-28 10:42:31,4850,7,1,2,12444.92,0.00,12444.92,F-00000275
276,2024-05-12 16:30:07,1190,13,3,2,18716.47,0.00,18716.47,F-00000276
277,2024-08-21 04:23:01,330,9,1,1,49425.50,0.00,49425.50,F-00000277
278,2023-03-05 21:08:31,3613,10,2,3,213577.95,0.00,213577.95,F-00000278
279,2025-11-15 10:29:38,916,14,1,1,80700.13,0.00,80700.13,F-00000279
280,2024-04-13 18:38:30,418,2,1,1,158058.93,0.00,158058.93,F-00000280
281,2023-10-15 09:22:44,4934,9,1,1,43080.97,0.00,43080.97,F-00000281
282,2023-08-12 13:23:46,298,2,1,2,100695.43,0.00,100695.43,F-00000282
283,2025-10-17 18:43:14,1688,9,1,3,101432.82,0.00,101432.82,F-00000283
284,2023-11-15 19:00:20,418,15,1,1,67123.07,0.00,67123.07,F-00000284
285,2024-06-13 06:30:44,4808,11,1,4,130531.52,0.00,130531.52,F-00000285
286,2024-10-30 17:01:41,931,11,2,1,132547.82,0.00,132547.82,F-00000286
287,2024-02-06 15:44:33,,6,1,3,88707.05,0.00,88707.05,F-00000287
288,2023-04-22 10:41:24,3486,6,2,1,31315.03,0.00,31315.03,F-00000288
289,2025-07-04 12:18:09,2842,3,1,3,106426.78,5953.94,100472.84,F-00000289
290,2023-03-23 17:42:46,4524,6,1,1,49373.95,0.00,49373.95,F-00000290
291,2023-08-31 19:56:00,2720,2,3,3,73036.68,0.00,73036.68,F-00000291
292,2024-08-05 11:19:07,,6,1,1,56205.07,0.00,56205.07,F-00000292
293,2023-03-21 22:45:52,,13,1,2,149604.15,0.00,149604.15,F-00000293
294,2025-02-09 08:20:41,1986,12,1,2,209756.88,2182.40,207574.48,F-00000294
295,2023-10-25 07:08:54,857,14,1,2,91215.90,0.00,91215.90,F-00000295
296,2024-07-03 11:27:32,2150,15,2,4,31839.88,0.00,31839.88,F-00000296
297,2023-10-25 13:00:24,3949,7,2,2,132758.17,1723.78,131034.39,F-00000297
298,2024-03-15 12:40:21,,2,1,2,130562.55,0.00,130562.55,F-00000298
299,2023-04-08 13:18:53,3365,12,1,1,48068.56,0.00,48068.56,F-00000299
300,2025-02-23 08:40:11,,15,1,5,11735.71,0.00,11735.71,F-00000300
301,2025-02-05 14:25:00,1313,12,3,1,167252.49,0.00,167252.49,F-00000301
302,2024-03-31 09:57:08,1705,14,1,2,88798.34,349.77,88448.57,F-00000302
303,2023-09-22 12:13:14,307,15,2,1,123467.14,0.00,123467.14,F-00000303
304,2025-04-02 11:53:36,3956,4,3,1,2171.02,0.00,2171.02,F-00000304
305,2023-05-25 13:08:42,120,13,3,1,201221.96,0.00,201221.96,F-00000305
306,2025-08-29 08:52:51,4898,15,1,3,27949.88,0.00,27949.88,F-00000306
307,2025-09-29 17:04:15,3739,13,2,4,57921.12,5551.59,52369.53,F-00000307
308,2023-01-04 18:40:56,3181,12,1,3,44504.15,0.00,44504.15,F-00000308
309,2023-12-21 21:46:32,4320,14,1,3,26178.21,0.00,26178.21,F-00000309
310,2024-12-04 09:02:56,808,3,1,3,124864.52,0.00,124864.52,F-00000310
311,2025-11-13 09:04:12,4401,13,1,2,71258.90,0.00,71258.90,F-00000311
312,2025-01-26 09:31:17,3108,5,1,1,36305.22,0.00,36305.22,F-00000312
313,2023-06-15 08:10:19,4263,15,1,3,155825.40,1308.44,154516.96,F-00000313
314,2024-07-29 06:14:24,4853,12,1,1,76982.80,800.73,76182.07,F-00000314
315,2023-01-19 12:02:31,66,10,3,2,119367.21,0.00,119367.21,F-00000315
316,2025-04-03 23:23:44,2595,12,3,4,139329.05,0.00,139329.05,F-00000316
317,2025-10-02 08:05:22,1584,10,3,1,104018.15,7762.86,96255.29,F-00000317
318,2024-08-08 14:50:28,,3,1,1,97557.79,0.00,97557.79,F-00000318
